Feature,Mean_Absolute_SHAP
tenure,0.0775246870892463
InternetService,0.031020841884964272
Contract,0.030508147778693165
TotalCharges,0.020747256345551707
MonthlyCharges,0.017203891908762727
StreamingMovies,0.010741844522022238
TechSupport,0.009715363843435375
OnlineSecurity,0.008724208456648123
StreamingTV,0.007490783450720732
PaperlessBilling,0.006097125339189986
OnlineBackup,0.0049834177526632256
PaymentMethod,0.004234541240036544
DeviceProtection,0.0038184005858446267
MultipleLines,0.0037140220429435805
SeniorCitizen,0.0017198143486380868
Dependents,0.0009334154045441094
Partner,2.133991227331441e-05
PhoneService,0.0
gender,0.0
